"Year","metric","priority_group","sdi_cat","ASR","lower_CI","upper_CI"
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",10.3833638907502,10.2764530275542,11.089894933984
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle",5.75121965598063,5.50356585991411,6.8909730757129
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_high",4.33410754943237,3.76442074189326,11.4871106672118
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_low",6.52980409102008,6.04130537197864,13.9811867816822
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","high",0.800216727623142,0.51788476578804,1.71101545817269
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",8.90920966548992,8.74521293717543,10.3244238886198
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle",2.59534644197024,2.25342838436115,4.93987947244662
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",1.60501668742078,1.19341492930346,17.0670669773667
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",4.90661836706445,4.16220837280623,20.6145960071307
1993,"Attributable_Deaths","Critical","high",0.0414921603481156,0.0172777018106863,0.315652528816693
1993,"Attributable_Deaths","Critical","low",0.396686950608424,0.373957698617557,0.855975813220291
1993,"Attributable_Deaths","Critical","middle",0.186205646042622,0.13762474751269,0.953759037429733
1993,"Attributable_Deaths","Critical","middle_high",0.089569753837132,0.00976744654057586,5.00403600366291
1993,"Attributable_Deaths","Critical","middle_low",0.244344166721366,0.154018167249824,5.40848659796668
1993,"Attributable_Deaths","High","high",0.0914399436601039,0.0467609530114106,0.68185637112426
1993,"Attributable_Deaths","High","low",0.308551379869183,0.277443190003642,1.36026963675462
1993,"Attributable_Deaths","High","middle",0.280375135123435,0.2084098130233,1.96783722224001
1993,"Attributable_Deaths","High","middle_high",0.2325078677431,0.0538592576794927,10.8610959196481
1993,"Attributable_Deaths","High","middle_low",0.278049976096762,0.148279980109029,11.5703718533981
1993,"Attributable_Deaths","Medium","high",0.0312921331030523,0.0029702018004499,0.947769760498202
1993,"Attributable_Deaths","Medium","low",0.181557780542743,0.145306457734097,1.82776622997449
1993,"Attributable_Deaths","Medium","middle",0.0802270540877869,0.0208690871673686,2.7249515066153
1993,"Attributable_Deaths","Medium","middle_high",0.061293629830173,0.00107790596360573,16.12515716256
1993,"Attributable_Deaths","Medium","middle_low",0.123243044575214,0.0153786401689568,17.1937075741185
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","high",6.32160857486592,5.98174127280337,6.76138661065742
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",104.111478724511,103.862735144976,104.58680176171
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle",31.7098712655687,30.7983741007069,32.9484708550399
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",17.1108943067739,16.6447656674608,17.8153622805935
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",45.2827976413859,44.29222557756,49.3879719360488
1994,"Associated_DALYs (Disability-Adjusted Life Years)","High","high",10.1573445902748,9.67095798934363,10.8759289186933
1994,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",82.8307392156543,82.5738419557599,83.5098836394942
1994,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle",29.4199015591072,28.4258719270244,31.0060094501045
1994,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_high",21.1008377385034,20.5095087274745,22.1081787207253
1994,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_low",36.0145563675389,34.9208777510437,42.57994543806
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","high",19.5938376616376,18.4502878602257,21.0634270490008
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",206.670803987344,205.885615331506,208.199927135117
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle",65.401427550964,62.1322116422798,69.7481598432078
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",29.033404600984,27.7642742709177,31.1291686251519
1994,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",107.71885286228,104.325303033955,121.176654549153
1994,"Associated_Deaths","Critical","high",0.259594196696142,0.205800112355967,0.48244115646359
1994,"Associated_Deaths","Critical","low",2.71645134692647,2.66027138079111,3.09930807374208
